TF,R.acc,P.acc,FDR.acc,motif,TF.var,R.exp,P.exp,FDR.exp,pass,R.product,label,AF_signature
KLF1,-0.243199054482956,0.00237209925394459,0.00926484839498776,MA0493.1,KLF1,-0.156185579074276,0.0530751953714891,0.151795058762459,FALSE,0.0379841851547369,"",UP
TWIST1,-0.290961373010265,0.000251383166814592,0.00146298081417685,MA1123.2,TWIST1,-0.130134329549704,0.107700487746971,0.255621074652561,FALSE,0.0378640632015523,"",UP
TCF21,-0.273858146456073,0.00058875154743258,0.00283360422183681,MA1568.1,TCF21(VAR.2),-0.137710087849998,0.08854223612706,0.222476918938291,FALSE,0.0377130294069035,"",UP
NEUROD2,-0.196335980729966,0.0146703629878124,0.0384003185575722,MA0668.1,NEUROD2,-0.190920343132476,0.0177009150241885,0.0708036600967541,FALSE,0.0374845328102164,"",UP
HIC1,-0.233772718358562,0.00352340335568101,0.0125164709682764,MA0739.1,HIC1,-0.159595824263542,0.0480317715838528,0.142353229771833,FALSE,0.0373091496767636,"",UP
STAT6,-0.239866859236311,0.00273289543443124,0.010446289332835,MA0520.1,STAT6,-0.154968482049544,0.054978043772296,0.155680401176997,FALSE,0.0371718030698428,"",UP
ZFP57,0.190002442146048,0.0182650984320536,0.0460329845618647,MA1583.1,ZFP57,0.194813699050589,0.0154726975183256,0.0641332100034943,FALSE,0.0370150785831172,"",UP
OSR2,-0.380347090345366,1.14074901194665e-06,1.32968556705032e-05,MA1646.1,OSR2,0.0962801762967215,0.234899298468391,0.426547297536253,FALSE,0.0366198849123969,"",UP
BHLHE41,0.123882260951464,0.125839652449065,0.204079088536962,MA0636.1,BHLHE41,-0.290522323551507,0.000257110438209305,0.00213140827037279,FALSE,0.0359905622984334,"",UP
PBX2,-0.168259036142024,0.0369855700911863,0.0811506920236028,MA1113.2,PBX2,-0.211124361138026,0.00858043980346025,0.042678361457211,FALSE,0.0355235815111848,"",UP
ELK3,0.248547637468487,0.00188237210187631,0.00765511657493959,MA0759.1,ELK3,-0.142679494867586,0.0775263121916625,0.205301160063106,FALSE,0.0354626513645358,"",UP
RXRA,-0.149082503315876,0.0649912549049823,0.121817779294263,MA1148.1,PPARA::RXRA,-0.237389281127251,0.00303256908273246,0.0180690574512809,FALSE,0.035390588290807,"",UP
MSC,-0.433429788317294,1.96712880476174e-08,3.41273974035409e-07,MA0665.1,MSC,0.0812151435507177,0.316683117835779,0.505985316765546,FALSE,0.0352010624773462,"",UP
CEBPG,-0.28031016637793,0.000429797976581657,0.00221123648641322,MA0838.1,CEBPG,-0.125250614878827,0.121680774532735,0.275974539298172,FALSE,0.0351090206956219,"",UP
MAX,0.162296354020969,0.0443266702068199,0.0928867864446281,MA0058.3,MAX,-0.213497613135602,0.00784719429641423,0.0400767422995441,FALSE,0.0346498842040876,"",UP
MYOD1,-0.288063019800015,0.000291494489285003,0.00157576006526531,MA0499.2,MYOD1,-0.120281668622391,0.137306848539515,0.295707598125455,FALSE,0.0346487006899507,"",UP
SREBF2,-0.18431074858903,0.0221234739044597,0.0539350050089115,MA0596.1,SREBF2,-0.187645378826928,0.0197857830212995,0.0759561603233781,FALSE,0.0345850602408634,"",UP
ZNF136,-0.392195158517519,4.8949385066412e-07,6.29590366543851e-06,MA1588.1,ZNF136,-0.0877603196821226,0.279122107398543,0.472360489443688,FALSE,0.0344191724892782,"",UP
LHX6,-0.172646358018035,0.0322632199179789,0.0729344304812492,MA0658.1,LHX6,-0.198384850857256,0.0136479377674628,0.0591290331183143,FALSE,0.0342504219864563,"",UP
STAT2,-0.211792328312134,0.00836816685973506,0.0242904765656123,MA1623.1,STAT2,-0.160637424069675,0.0465732769083516,0.139653968362546,FALSE,0.03402177405778,"",UP
HIC2,-0.25959161417037,0.00114951280859239,0.00507418080005873,MA0738.1,HIC2,0.130310541323734,0.107220652664065,0.255542555516022,FALSE,0.0338275237656428,"",UP
ZKSCAN5,-0.278757109794762,0.000463942657125266,0.002338521771726,MA1652.1,ZKSCAN5,-0.12076857069804,0.13571108809802,0.295158716319647,FALSE,0.03366509772183,"",UP
RORA,-0.123784762835887,0.126140114791132,0.204122615258535,MA0072.1,RORA(VAR.2),-0.271852289787298,0.000648258616106724,0.00475389651811597,FALSE,0.0336511712177135,"",UP
SPI1,-0.18262311679945,0.0233946372704887,0.0561170398835518,MA0080.5,SPI1,-0.183105307204578,0.0230251894505463,0.0838879513739648,FALSE,0.0334392619042209,"",UP
PLAGL2,-0.417820814949176,6.98865749429724e-08,1.0861538522387e-06,MA1548.1,PLAGL2,-0.0800226517743457,0.323864576099918,0.507535719257954,FALSE,0.0334351295787513,"",UP
ELK4,0.198906364721659,0.0133978607270923,0.0362130583420684,MA0076.2,ELK4,-0.166967744075128,0.038481801340523,0.123047640780051,FALSE,0.0332109469997599,"",UP
NFKB2,-0.45496030322578,3.0714623930738e-09,6.54660270066586e-08,MA0778.1,NFKB2,0.0727605437951181,0.36984303439547,0.559656655222775,FALSE,0.0331031590678996,"",UP
RUNX3,-0.261787483886977,0.00103948145286596,0.00467140460143377,MA0684.2,RUNX3,0.125451134050534,0.121080375422414,0.275974539298172,FALSE,0.0328415367338572,"",UP
ATF6,0.129070708920357,0.110632629132912,0.184635215510408,MA1466.1,ATF6,0.249496786699104,0.00180575971738263,0.0117374381629871,FALSE,0.0322027271326045,"",UP
SIX2,-0.382576452402088,9.7531815638765e-07,1.17352797526643e-05,MA1119.1,SIX2,0.0839464816805091,0.30062723492827,0.491310795368488,FALSE,0.0321159471529661,"",UP
GRHL1,-0.140572854242301,0.0820531166104128,0.146439294237722,MA0647.1,GRHL1,-0.227926852098511,0.00446948972071662,0.025064197257352,FALSE,0.0320403281579505,"",UP
ELF2,0.23067233385857,0.00399995107800119,0.0136311379767427,MA1483.1,ELF2,0.138835103835749,0.0859449087120035,0.22144363866336,FALSE,0.0320254174232891,"",UP
SRF,-0.279565150900651,0.000445876658784979,0.00226274821397003,MA0083.3,SRF,-0.113759827488462,0.160085163216507,0.331770700579138,FALSE,0.031803283338244,"",UP
POU3F2,-0.192451271579134,0.0167935521874941,0.0430515117933699,MA0787.1,POU3F2,0.164858428266569,0.0410353262476349,0.12826342411829,FALSE,0.0317272141504386,"",UP
HSF2,-0.0890962448301875,0.271840453384653,0.37834510862864,MA0770.1,HSF2,0.353900230587001,6.71290431899731e-06,9.36532017186941e-05,FALSE,0.0315311815898393,"",UP
LHX9,-0.171272382936451,0.0336837817740971,0.0756754914403219,MA0701.2,LHX9,-0.183431938418564,0.0227777889018627,0.0838123454677907,FALSE,0.0314168251995997,"",UP
NR2F2,0.0565928676518942,0.485717605615637,0.596944536720372,MA1111.1,NR2F2,-0.552489452867148,1.09902279860275e-13,8.98058629715394e-12,FALSE,0.031266962485178,"",UP
EOMES,0.239339070889714,0.00279439051412335,0.0105818036727717,MA0800.1,EOMES,0.129744135142738,0.108769000726194,0.256032380310218,FALSE,0.0310528407584524,"",UP
EBF3,-0.485108189752742,1.8187183194279e-10,6.16710848315097e-09,MA1637.1,EBF3,-0.0639492187584514,0.430737523487589,0.602400644095112,FALSE,0.0310222897480144,"",UP
ZBTB7A,0.0965069868985078,0.233793323409108,0.334118427707269,MA0750.2,ZBTB7A,-0.320449086527216,5.08598167693734e-05,0.000538737318371881,FALSE,0.0309255757951208,"",UP
SOHLH2,0.146466503191155,0.0698965065592794,0.129066321517877,MA1560.1,SOHLH2,-0.209029435210202,0.00927742379220664,0.0445940034381697,FALSE,0.0306158104392603,"",UP
RARG,-0.328010677910615,3.28389851021828e-05,0.000275257111081218,MA0860.1,RARG(VAR.2),-0.0927117729414899,0.252783710688519,0.442178233987256,FALSE,0.0304104514928331,"",UP
SOX13,-0.192474724369768,0.0167799724048363,0.0430515117933699,MA1120.1,SOX13,-0.157989237033958,0.0503557535632882,0.147141761113214,FALSE,0.0304089348515009,"",UP
BHLHE22,-0.442353026146763,9.25489817573467e-09,1.77029590746104e-07,MA1635.1,BHLHE22(VAR.2),0.0683660438935948,0.399522495507663,0.581373789299432,FALSE,0.0302419264020141,"",UP
SP2,-0.263098075044223,0.000978496704934284,0.00446098758471676,MA0516.2,SP2,-0.1143107248309,0.158058077949146,0.328760802134223,FALSE,0.0300749316599196,"",UP
KLF17,-0.337370656693628,1.88008995574801e-05,0.000173153963825681,MA1514.1,KLF17,-0.0888378700242198,0.273238621828008,0.469346821878741,FALSE,0.0299712905493342,"",UP
ZNF135,-0.070001467784162,0.388315254273944,0.501181971779173,MA1587.1,ZNF135,-0.427362796883089,3.24446134443559e-08,8.06883430007459e-07,FALSE,0.0299160230581609,"",UP
RARG,-0.32139900327234,4.81708112901161e-05,0.000373897938349527,MA0859.1,RARG,-0.0927117729414899,0.252783710688519,0.442178233987256,FALSE,0.0297974714150064,"",UP
SREBF1,-0.238017692098347,0.00295387513498039,0.0110179542534769,MA0595.1,SREBF1,0.125122474239422,0.122065661612653,0.275974539298172,FALSE,0.0297813625481021,"",UP
HNF4A,-0.16881420702976,0.0363575318356233,0.0802447300277367,MA1494.1,HNF4A(VAR.2),-0.176308474215776,0.0287229306018254,0.102046685119529,FALSE,0.029763375267363,"",UP
HOXC4,-0.290561940277191,0.000256588720035802,0.00146298081417685,MA1504.1,HOXC4,-0.102419287225751,0.206243900854974,0.39063414334121,FALSE,0.0297591468181212,"",UP
TFAP2C,-0.135412966013544,0.0940399744380648,0.161644748688471,MA0814.2,TFAP2C(VAR.2),-0.219643990867437,0.00620006360559107,0.0334569470037556,FALSE,0.0297426442704113,"",UP
EBF2,-0.466390221951734,1.08620064772566e-09,2.70101894401114e-08,MA1604.1,EBF2,-0.0633179617660003,0.435310443274356,0.602409435798016,FALSE,0.0295308782415763,"",UP
MEOX2,-0.289286875717169,0.000273883049800909,0.00150232908199616,MA0706.1,MEOX2,-0.100970476371072,0.212768485115959,0.398110309650611,FALSE,0.0292094336490617,"",UP
MAX,-0.13487776968707,0.0953590110679108,0.163535223578532,MA0059.1,MAX::MYC,-0.213497613135602,0.00784719429641423,0.0400767422995441,FALSE,0.0287960818932429,"",UP
GLI2,-0.219156260343212,0.00631848640736736,0.019160938454862,MA0734.2,GLI2,-0.131091992757074,0.10511289045854,0.253690182878838,FALSE,0.0287296308935797,"",UP
RARB,-0.167988560759485,0.0372948444304321,0.0813507425295391,MA0857.1,RARB,-0.170353983473702,0.0346625655293876,0.114606864062484,FALSE,0.0286175205033923,"",UP
NFKB1,-0.347213146464657,1.02542287189507e-05,9.93461639524314e-05,MA0105.4,NFKB1,0.0804291611787031,0.321404773510976,0.507401472321329,FALSE,0.0279260621203706,"",UP
TCF3,-0.459446825362427,2.0517515262823e-09,4.72380182663959e-08,MA0092.1,HAND1::TCF3,0.060642360893559,0.454998034054055,0.615500762409555,FALSE,0.0278619401950283,"",UP
ZIC1,-0.518885628732628,5.42829938807738e-12,2.69967422900381e-10,MA1628.1,ZIC1::ZIC2,0.0536753983892221,0.508519902988979,0.664438615939898,FALSE,0.0278513928406658,"",UP
RFX1,-0.226565842869121,0.00472010477666744,0.0153764111938599,MA0509.2,RFX1,-0.120471160728524,0.13668411744319,0.295707598125455,FALSE,0.0272946500718794,"",UP
GATA1,-0.277867392447198,0.000484615373020729,0.00242632931727157,MA0035.4,GATA1,0.09667755929206,0.232963988398891,0.424380259121547,FALSE,0.0268635413086441,"",UP
SIX3,-0.310469183680818,8.90212905830213e-05,0.000602982129840746,MA0631.1,SIX3,0.0834968595198062,0.303232688141286,0.493723634679924,FALSE,0.0259232018150261,"",UP
TLX2,-0.136759258647726,0.0907859260937794,0.158609603901544,MA1577.1,TLX2,-0.189500066415233,0.0185804317306102,0.0722993670061839,FALSE,0.025915888596642,"",UP
