feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,TF.name,auc_TF_expr,combined_auc
MA0852.2,Adipo,0.954078235771311,0.910616820707217,1025904,0.714584530513734,4.1180620880406e-16,5.48584699585408e-15,100,100,FOXK1,0.525807900868239,0.375734191982342
MA0473.3,Lymphoid,2.43428697248427,1.90422363335038,1772935,0.744815507518165,6.43246423827195e-33,5.92422015030972e-32,100,100,ELF1,0.50444069992539,0.375715255927748
MA1652.1,Mesothelial,0.992156122958623,0.929814531219324,8971218,0.716580720605009,7.20694076815847e-130,2.1250505189906e-129,100,100,ZKSCAN5,0.523649225047686,0.375236939028925
MA1518.1,Mesothelial,0.93790902275492,1.04687808253732,9381116,0.749321537316246,1.91731655917492e-171,7.33496488792046e-171,100,100,LHX1,0.500155278014742,0.374777121818841
MA1649.1,FB,0.809039262122835,1.01584174196526,19230280,0.75026842285964,0,0,100,100,ZBTB12,0.499489918536783,0.374751513414882
MA0081.2,EC,1.87243200232779,1.44164089524543,10862883,0.75120425292821,1.13680364394409e-200,3.02876970850817e-199,100,100,SPIB,0.498720352681852,0.374640849956464
MA0625.1,Adipo,1.22608645796032,1.07006930675064,917395,0.639003527981806,1.36639954897923e-07,5.25429929659025e-07,100,100,NFATC3,0.586062208105651,0.374495818596319
MA0731.1,Mesothelial,1.21573669271621,1.2642433068763,9636674,0.769734365964082,2.58835456142092e-200,1.17738567245122e-199,100,100,BCL6B,0.486426992175394,0.374419572409942
MA0808.1,SMC,0.712069755124569,0.89342462809067,1761863,0.654395244605741,1.09621531998392e-15,1.8172813971289e-14,100,100,TEAD3,0.571406312619482,0.37392557371589
MA0598.3,Lymphoid,2.87079859513822,2.17882916111145,1784844,0.749818515456434,3.30518199806457e-34,3.28755436074156e-33,100,100,EHF,0.498642226748133,0.373891174204176
MA1125.1,Mesothelial,1.64730542576251,1.45038117447938,8554442,0.683290520053549,1.43956579304585e-93,3.31455580744508e-93,100,100,ZNF384,0.547144529964503,0.3738586704239
MA0483.1,FB,0.856607953708239,1.03949755871095,19171321,0.747968140391398,0,0,100,100,Gfi1b,0.499821623646181,0.373850650366043
MA1534.1,Adipo,1.06492238000494,1.04363241192728,1070578,0.745701817624585,1.22277687373709e-20,3.14548809588919e-19,100,100,NR1I3,0.500726144330328,0.373392395959276
MA0493.1,Mesothelial,1.22719039352248,1.16867717780719,9349299,0.746780137833201,5.22880043828707e-168,1.99014547293988e-167,100,100,Klf1,0.499861495844875,0.373286636764546
MA0100.3,CM,0.633142924373271,0.995800600885282,20337875,0.746373809480033,0,0,100,100,MYB,0.500120390123452,0.373276760775081
MA0645.1,Lymphoid,3.50366854232909,3.12778897534626,2062830,0.866601298622734,1.27152437239504e-71,6.32371454537801e-70,100,100,ETV6,0.430346904344202,0.372939186162959
MA0004.1,CM,0.668947433684171,0.913555807059617,19673867,0.722005571378205,2.46466298948209e-294,5.55479936602309e-294,100,100,Arnt,0.516524512372292,0.372933575686205
MA0837.1,FB,1.57335436925981,1.86191948734331,19131851,0.746428220294017,0,0,100,100,CEBPE,0.499565217391304,0.372889576138185
MA1531.1,CM,0.599801475713352,0.847966583591813,19636554,0.720636232351727,9.65600373923468e-291,2.15670023636799e-290,100,100,NR1D1,0.516974934009294,0.372550868664741
MA0136.2,EC,1.78200067866338,1.46509887293747,10769801,0.744767325063751,1.26657140897792e-190,2.95269459717977e-189,100,100,ELF5,0.500217590871764,0.372545717103397
MA1616.1,Adipo,1.01990873661222,0.938411044806319,988409,0.688467713568277,9.00405998028574e-13,7.46336527254795e-12,100,100,Prdm15,0.541049966391881,0.372495433288011
MA0081.2,Endocardial,1.91343937514892,1.42705803237198,7481385,0.743763386256684,3.82701308177903e-132,4.07850251286737e-131,100,100,SPIB,0.500760426865009,0.372447270788462
MA0869.1,FB,0.895736386088668,1.10766495178981,19323138,0.753891273135866,0,0,100,100,Sox11,0.493715783888386,0.372208020882887
MA1508.1,EC,3.30960066802789,3.01740122773289,11647485.5,0.805462108311363,1.06277093656817e-295,5.28551412453239e-294,100,100,IKZF1,0.461877408479924,0.372024751215628
MA0495.3,Myeloid,1.36761395852468,1.49781358883272,11244180,0.801303272826783,2.64806262748716e-279,3.59173585473713e-278,100,100,MAFF,0.464075941582192,0.371865570829982
MA0161.2,CM,0.756727786364778,1.29693854061492,20248460,0.743092394181008,0,0,100,100,NFIC,0.500309608680537,0.371776264946184
MA0838.1,FB,1.74317456369132,2.05606970363074,19366774,0.755593729517151,0,0,100,100,CEBPG,0.491792093230126,0.371595021870797
MA1485.1,FB,0.756557660190906,1.10320026812075,19041379.5,0.742898479197228,0,0,100,100,FERD3L,0.5,0.371449239598614
MA0740.1,Lymphoid,0.943175727427138,0.850301311444212,1772074,0.744453798740363,7.95399976016987e-33,7.23619978181308e-32,100,100,KLF14,0.498854378818737,0.371374037329873
MA0692.1,Myeloid,1.10822736432112,1.26350960195071,10786475,0.768685463925718,1.53058616335315e-222,1.73002617857796e-221,100,100,TFEB,0.483103525314514,0.371354657480537
MA1654.1,FB,0.873117417606283,1.1243923981201,19828109.5,0.773592711226942,0,0,100,100,ZNF16,0.479653313149599,0.371056306968384
MA1606.1,FB,0.926326155636732,1.12488863092112,18973792.5,0.740261575735822,0,0,100,100,Foxf1,0.501034052248822,0.370896257015017
MA0759.1,Myeloid,1.96858199274543,1.99563662751438,11940606.5,0.850933288864707,0,0,100,100,ELK3,0.435604653955338,0.370670500834988
MA0002.2,FB,1.21491585589132,1.3873458421382,19774445,0.771498993414276,0,0,100,100,RUNX1,0.480438840163551,0.370658081583302
MA1102.2,Adipo,0.764487042991757,0.729443568122884,1057714,0.736741510031937,2.83285625513488e-19,5.28327691582655e-18,100,100,CTCFL,0.502778851612319,0.370418050348983
MA0820.1,Mesothelial,0.909639893306235,1.10852375640756,9270452,0.740482192551128,1.20576599971121e-159,4.40932076364983e-159,100,100,FIGLA,0.5000940933649,0.37031077073671
MA0511.2,Adipo,0.964151647874438,0.823888810837376,958337,0.667521322871283,2.14143442547283e-10,1.24805475109588e-09,100,100,RUNX2,0.55469416611814,0.370270183556164
MA0051.1,Endocardial,1.53115017164978,1.3678610169477,6950273,0.690962780539753,7.57781241910594e-82,3.8719507292144e-81,100,100,IRF2,0.535707703007827,0.370154084026852
MA1119.1,Mesothelial,0.770131124287,0.898705859632998,9006278,0.719381156405857,3.38480646163279e-133,1.02644943917808e-132,100,100,SIX2,0.514434345515948,0.370074374372153
MA0901.2,FB,0.846367798449651,1.02240666400466,18949256.5,0.739304304909641,0,0,100,100,HOXB13,0.500179468772434,0.369784834490878
MA1584.1,Mesothelial,0.690770599740945,0.779858639326582,9254089,0.739175189384863,6.16283476637903e-158,2.23178385229066e-157,100,100,ZIC5,0.5,0.369587594692431
MA0473.3,Endocardial,3.18090196007905,2.83339037161148,8142904.5,0.809528479671182,8.21163326652678e-212,1.75025097623685e-210,100,100,ELF1,0.45646613361562,0.369522335167235
MA1624.1,Endocardial,1.50724000837601,1.40924457590647,6953894,0.691322762979052,3.78283197077562e-82,1.94620182772318e-81,100,100,Stat5a,0.534485790784291,0.369502193658039
MA0164.1,Adipo,1.12272432711555,1.10696290434943,1066650,0.742965803303696,3.23121447719677e-20,7.53276874996497e-19,100,100,Nr2e3,0.497191893652071,0.369396574663296
MA1581.1,FB,0.69823927753823,0.896632836116713,19093969,0.744950255938076,0,0,100,100,ZBTB6,0.495850135772028,0.369383685550302
MA0150.2,FB,0.597024012080116,0.782914704044143,16980129,0.662478892911764,2.47919666641989e-149,6.31222086399057e-149,100,100,Nfe2l2,0.557458897749618,0.369304753424979
MA0685.1,Lymphoid,0.896205709313217,0.77362130495078,1729700,0.726652349552674,1.87272616661306e-28,1.27004883663031e-27,100,100,SP4,0.507748171711265,0.368956401955065
MA0845.1,Endocardial,0.974783715806738,1.01948980361731,7426232,0.738280339729575,2.35546837976222e-126,2.37456677203056e-125,100,100,FOXB1,0.499656719314306,0.36888673248353
MA0825.1,CM,0.681801710237975,0.95208712358735,19894846,0.730115215972101,0,0,100,100,MNT,0.505034494403502,0.368733368954774
MA1560.1,CM,0.563511133454764,0.774538073482679,19092309,0.700663142049006,7.40695003907093e-241,1.52219964990273e-240,100,100,SOHLH2,0.526183760064117,0.368677566621684
MA0136.2,Endocardial,1.81868125289792,1.44487532837478,7419058.5,0.737567184792179,1.30439354784934e-125,1.28036524565211e-124,100,100,ELF5,0.499413251489439,0.368350825948973
MA0154.4,EC,0.525117786570547,0.444973589484787,8816561,0.609694325106972,8.99210853450531e-40,4.16652979300681e-39,100,100,EBF1,0.604153935255219,0.368349225816152
MA0442.2,EC,1.23890091361867,1.24623335765514,10793967,0.746438483813805,3.30555452365283e-193,7.9546570149839e-192,100,100,SOX10,0.493340571379176,0.368248388104108
MA0477.2,FB,1.75261821287267,2.1943803489632,19213150,0.749600096757077,0,0,100,100,FOSL1,0.491135452105247,0.368155182418924
MA0050.2,Endocardial,1.83289077634952,1.46737189542285,6680929,0.664185892903584,5.48222198475724e-61,2.13007166699422e-60,100,100,IRF1,0.553644143689163,0.367722629927027
MA0834.1,Mesothelial,0.980561615679087,0.944438834601761,8557087,0.683501790809203,8.84782120504244e-94,2.04349059410578e-93,100,100,ATF7,0.537678441916118,0.367504177929169
MA0746.2,Myeloid,0.619362285636445,0.558349129631025,9416513,0.671056732061915,2.17882493196138e-91,1.29000269781205e-90,100,100,SP3,0.547495130008377,0.367400292763235
MA0109.1,Mesothelial,0.72085749221715,0.852240016674816,8972855,0.716711476834501,5.05010393712599e-130,1.4949910861492e-129,100,100,HLTF,0.512450317425324,0.367279023806213
MA0143.4,Neuron,0.809788734304137,0.676248550115636,1062926,0.674253337722946,4.4410736591787e-12,4.41738793299642e-11,100,100,SOX2,0.544375365140262,0.367046906919969
MA1569.1,Adipo,0.779727645695802,0.783007574033005,1035043,0.720950221674276,5.45866354348929e-17,8.48367292383961e-16,100,100,TFAP2E,0.509063047437947,0.367009116896571
MA1621.1,Mesothelial,1.07219332337979,1.3712014530676,9171695,0.732593925626304,1.78539661462703e-149,6.28257487977249e-149,100,100,Rbpjl,0.500126043573695,0.366389301569605
MA1489.1,FB,1.00934468152825,1.17631400859936,19028222.5,0.742385159493118,0,0,100,100,FOXN3,0.493484483754175,0.366355557179222
