feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,auc.ct,auc.ct.af
TGFA,AF,0.0956873981387939,0.0668636624557447,2799205.5,0.806351910040894,4.40408938338395e-37,3.12049709249068e-36,91.6666666666667,36.7233923404785,0.537064304179767,0.433062827490138
ANGPTL2,AF,0.200750526850593,0.108142727372146,2926136.5,0.842916233129499,3.13726189406764e-35,2.13019396809233e-34,98.1481481481482,78.4867622810565,0.51529816987562,0.434353192290082
GALNT5,AF,0.065037935554161,0.0607165341170411,2907267,0.837480598851659,1.70281941713613e-140,4.90441141683002e-139,74.0740740740741,8.16351927324767,0.51922278514376,0.434839009039622
TRIQK,AF,0.990358644574122,0.13623737313964,2223568,0.640531144964459,4.40516956448768e-07,1.09640499885363e-06,100,99.6826680770308,0.694159543171502,0.444630806975648
SPRY4-AS1,AF,0.478344966062503,0.149750956317386,2516151,0.724813939098542,6.48546723863973e-16,2.44544931456039e-15,100,96.1640170488131,0.623380719810732,0.451835035084101
F5,AF,0.369963430384894,0.201067026741767,2671272.5,0.769498946259827,2.59936197376321e-22,1.22849059574623e-21,99.0740740740741,81.691192483589,0.589450283759943,0.453581372225832
METTL24,AF,0.254740684682162,0.118130580532711,2836834,0.817191347462324,3.2994066141462e-30,1.95323323675742e-29,99.0740740740741,84.5129577201879,0.566341178453614,0.462809110743909
CAPN14,AF,0.0998846687054079,0.0743544711763647,2944967,0.848340632889368,7.58725976062371e-47,6.7231413020405e-46,91.6666666666667,37.5540553153097,0.548620416528175,0.465416991373541
ESRRB,AF,0.601881453530712,0.0888461828758149,2247345.5,0.647380600119144,1.17894231552333e-07,3.03685192018576e-07,99.0740740740741,98.5688952493545,0.72324209776735,0.468212903284055
TNK2-AS1,AF,0.050910705847036,0.0499558731833454,3152735,0.908191231084241,0,0,83.3333333333333,2.25243443362474,0.521432286124588,0.473560229862559
CALM3,AF,0.264268353548261,0.177213386487098,3129044,0.901366693514284,1.4036397125538e-47,1.26374518601834e-46,100,79.1525370998351,0.539722923993335,0.486488267413734
SYNE1,AF,2.00407991758857,0.553063761561949,3199358,0.921621665220582,7.27119552604269e-52,7.07666607234524e-51,100,100,0.535312105844369,0.493355234401024
CHGB,AF,0.149534502994747,0.136420009628211,3251509,0.936644520263038,7.16891206145376e-113,1.64664771923494e-111,95.3703703703704,19.4910244843356,0.55085290925183,0.515953358921679
ETV5,AF,0.282485448823542,0.219833103860195,3281939,0.945410324925305,1.65710955614394e-60,1.92613943227093e-59,98.1481481481482,63.4694956911303,0.562145066116949,0.531457749612782
MCF2,AF,0.215733346413624,0.167433826511594,3246683,0.935254320680385,4.28225155103755e-63,5.23357498882858e-62,98.1481481481482,49.233114519491,0.598996003987388,0.56021360079949
RNF216,AF,1.22864666936702,0.436350039494028,3206728,0.923744701052357,2.27022270800825e-52,2.23208163986786e-51,100,99.9688890271599,0.625645067016068,0.57793631539564
KCNK3,AF,0.230090442653081,0.216352389944802,3439155,0.990698683314494,2.79231624748181e-127,6.93869108143481e-126,100,22.5430109199515,0.607941076401837,0.602286423924096
DGKI,AF,0.694670853049492,0.60250844737552,3457995,0.996125819687715,3.9802781781069e-72,6.17930153140933e-71,100,75.5716641259372,0.667961654103413,0.665373850213724
TMEM163,AF,0.828247807799288,0.770126353427983,3447767,0.99317949533393,1.94971336700699e-81,3.37894531157693e-80,100,47.8922315900818,0.734065758879997,0.729059059946354
PGBD5,AF,0.523083537538793,0.419839079413806,3448403,0.993362704396211,7.63032181558822e-71,1.16006172783679e-69,100,80.5743085586286,0.73924712152738,0.734340519857552
CHRNE,AF,0.898264657254262,0.86254717857537,3447908.5,0.993220256469642,1.99965697216588e-99,4.21210999144799e-98,99.0740740740741,32.9402980431198,0.788072995792529,0.782730062997855
LINC01479,AF,1.20874933826317,1.09528740783173,3471344,0.999971193543667,8.14634785174349e-75,1.31160098187162e-73,100,66.8730361198395,0.787817444314201,0.787794750085392
COLQ,AF,1.42213956767592,1.02860819634457,3443515,0.991954644810632,5.74343294191594e-70,8.55161586263147e-69,100,94.0298043119808,0.816137638224321,0.809571521041395
IFNG-AS1,AF,2.36387213863236,2.1403546475001,3471360,0.99997580257668,5.92457525367518e-73,9.32324040309445e-72,100,77.8738761161062,0.823328860861349,0.823308938424371
PDE8B,AF,1.74206367015683,1.59078783286035,3471178,0.999923374826153,1.10897422216979e-77,1.84281395437104e-76,100,58.1401860436176,0.873753294305721,0.873686342807646
SYNPR,AF,2.2933305912867,2.17558417553493,3469000,0.999295970207211,3.0071133607608e-76,4.92405667102681e-75,100,61.3601717325701,0.933432262050233,0.932775097928199
